Month,Active Players,New Players,Proposals,Names
2012-11,11,0,39,"Anonyman, Clucky, Cpt_Koen, Josh, Kevan, lordcooper, Murphy, quirck, RaichuKFM, scshunt, Wakukee"
2012-12,20,6,54,"Argon14, Clucky, Cpt_Koen, DickT, Henri, Igthorn, Josh, Kevan, Klisz, Larrytheturtle, laserboot, minkette, Murphy, Purplebeard, quirck, RaichuKFM, robo1995, scshunt, southpointingchariot, Sphinx"
2013-01,19,2,82,"Argon14, Clucky, Cpt_Koen, IceFromHell, Igthorn, Josh, Kevan, Murphy, nqeron, Patrick, Purplebeard, quirck, RaichuKFM, robo1995, scshunt, Skju, Sphinx, Spitemaster, thingnumber2"
2013-02,15,2,58,"Henri, Josh, kikar, Larrytheturtle, MurphEngineer, Murphy, nqeron, omd, Patrick, Purplebeard, RaichuKFM, robo1995, scshunt, Skju, Spitemaster"
2013-03,14,1,58,"HugBeam, Josh, Kevan, kikar, Larrytheturtle, MurphEngineer, Murphy, nqeron, Purplebeard, quirck, RaichuKFM, scshunt, Skju, Spitemaster"
2013-04,17,5,55,"Clucky, Josh, kikar, Larrytheturtle, MurphEngineer, Murphy, nqeron, Purplebeard, QuinnR, RaichuKFM, Rationality, Roujo, Skju, spikebrennan, Tomas, TyTy, Yoshi1118"
2013-05,10,1,38,"Clucky, Henri, Ienpw III, kikar, Larrytheturtle, planet81, RaichuKFM, Rationality, Skju, Tavros"
2013-06,13,2,34,"aelthwin, Clucky, Fool, Ienpw III, kikar, Murphy, nqeron, quirck, RaichuKFM, Skju, Sphinx, Tavros, Wakukee"
2013-07,13,1,29,"Arlnoff, Clucky, Ienpw III, Josh, Kevan, kikar, Murphy, nqeron, Purplebeard, quirck, Skju, Sphinx, Spitemaster"
2013-08,12,2,16,"Clucky, Ember, Henri, Kevan, kikar, Larrytheturtle, Purplebeard, RaichuKFM, Skju, Sphinx, Spitemaster, Zefareu"
2013-09,13,1,50,"aelthwin, andrewStiltman, Clucky, Kevan, kikar, Murphy, nqeron, Purplebeard, quirck, RaichuKFM, Sphinx, Spitemaster, Zefareu"
2013-10,16,3,25,"Bucky, Clucky, jeo, Josh, Kevan, Larrytheturtle, Ludwig, Murphy, Purplebeard, quirck, RaichuKFM, scshunt, Sphinx, Spitemaster, turtlemoon, Wakukee"
2013-11,15,1,60,"Bucky, Clucky, Ely, Josef, Josh, Kevan, kikar, Larrytheturtle, Ludwig, Purplebeard, quirck, RaichuKFM, scshunt, Skju, Spitemaster"
2013-12,13,1,35,"aran, Clucky, IceFromHell, jookyle, Josh, Kevan, kikar, Larrytheturtle, Murphy, Purplebeard, RaichuKFM, Spitemaster, The Cube"
2014-01,11,2,20,"aran, Clucky, Kevan, Larrytheturtle, Purplebeard, RaichuKFM, Sacchan, Skju, The Cube, turtlemoon, Urist_McNomic"
2014-02,7,1,19,"aran, Dorieke, Larrytheturtle, Purplebeard, RaichuKFM, Rodney, Skju"
2014-03,10,3,42,"Babylon, benzene, Dorieke, Josh, Justice, Kevan, Murphy, Purplebeard, RaichuKFM, Rodney"
2014-04,7,2,33,"benzene, IceFromHell, Kevan, modulus, pizzashark, RaichuKFM, Rodney"
2014-05,7,1,29,"Bayushi, Excalabur, Josh, Kevan, Purplebeard, RaichuKFM, Rodney"
2014-06,13,6,53,"ayesdeeef, Brownie, Excalabur, Kevan, PTSnoop_, Purplebeard, RaichuKFM, Rodney, Sam, Sfarbs, Skju, Sprucial, TheChosenOne"
2014-07,8,1,38,"ayesdeeef, Doctor29, Kevan, King, PTSnoop_, Purplebeard, RaichuKFM, Skju"
2014-08,9,2,42,"ayesdeeef, Doctor29, Kevan, King, lilomar, nomic^3, Purplebeard, Sprucial, Sylphrena"
2014-09,10,3,36,"ayesdeeef, Bucky, Cpt_Koen, Eritivus, Kevan, nomic^3, Person93, RaichuKFM, Sylphrena, Teninten"
2014-10,9,0,28,"75th Trombone, ayesdeeef, Bucky, Doctor29, Eritivus, Kevan, RaichuKFM, Sylphrena, Teninten"
2014-11,10,0,32,"75th Trombone, ayesdeeef, Bucky, Doctor29, Eritivus, Kevan, Seventy-Fifth Trombone, Sprucial, Sylphrena, Teninten"
2014-12,8,2,32,"75th Trombone, ayesdeeef, Bucky, Doctor29, Jefferson Steelflex, Kevan, Laoding..., Sylphrena"
2015-01,12,1,76,"ais523, ayesdeeef, Brendan, Bucky, Darknight, Josh, Kevan, RaichuKFM, Skju, Sphinx, Sylphrena, _Fox_"
